start_date,end_date,start_time,end_time,Open,High,Low,Close,Volume,dollar
2015-02-17,2015-02-17,12:26:14.124,12:35:50.048,128.055,128.25,128.04,128.17,787120,100873319.11640163
2015-02-17,2015-02-17,12:35:50.120,12:43:15.503,128.18,129.4497,127.81,127.82,775399,100177623.93970154
2015-02-17,2015-02-17,12:43:15.971,12:47:26.942,127.825,127.9692,127.63,127.75,781612,100004834.59970152
2015-02-17,2015-02-17,12:47:26.942,12:52:04.556,127.75,127.84,127.49,127.5,783951,100087890.67380168
2015-02-17,2015-02-17,12:52:04.556,12:55:14.608,127.5,127.505,127.27,127.39,784338,100000133.98810168
2015-02-17,2015-02-17,12:55:14.608,13:00:27.853,127.39,127.49,127.35,127.49,785238,100062453.59700148
2015-02-17,2015-02-17,13:00:27.855,13:06:24.212,127.49,128.26,127.49,127.82,783121,100019911.78390157
2015-02-17,2015-02-17,13:06:24.272,13:13:42.984,127.82,127.92,127.66,127.71,782449,100007197.56400163
2015-02-17,2015-02-17,13:13:42.985,13:23:33.457,127.71,127.89,127.62,127.865,782792,100002692.23670171
2015-02-17,2015-02-17,13:23:33.458,13:33:18.046,127.86,127.87,127.6,127.6,782767,100004285.43910164
2015-02-17,2015-02-17,13:33:18.049,13:40:16.433,127.6,127.7481,127.45,127.53,784168,100020151.54900154
2015-02-17,2015-02-17,13:40:16.434,13:48:27.513,127.53,127.67,127.38,127.397,784848,100113401.05970165
2015-02-17,2015-02-17,13:48:27.514,14:00:00.408,127.3901,127.66,127.3901,127.6499,783381,100047039.05760162
2015-02-17,2015-02-17,14:00:03.153,14:13:09.706,127.64,127.66,127.46,127.541,783880,100049070.1803016
2015-02-17,2015-02-17,14:13:11.301,14:22:45.847,127.55,127.56,127.34,127.5599,784256,100019195.36620201
2015-02-17,2015-02-17,14:22:45.907,14:30:36.958,127.555,127.69,127.4805,127.6399,784823,100168151.76860192
2015-02-17,2015-02-17,14:30:37.763,14:40:49.070,127.64,127.64,127.53,127.59,782460,100003497.68720196
2015-02-17,2015-02-17,14:40:49.071,14:50:08.741,127.59,127.775,127.52,127.7501,783370,100011860.87320204
2015-02-17,2015-02-17,14:50:08.781,15:01:23.459,127.75,127.769,127.61,127.66,783012,100002275.28760192
2015-02-17,2015-02-17,15:01:23.459,15:07:06.437,127.66,127.97,127.66,127.94,782777,100049910.21020192
2015-02-17,2015-02-17,15:07:06.516,15:11:28.835,127.93,128.0901,127.825,127.87,781085,100016948.45960197
2015-02-17,2015-02-17,15:11:28.835,15:20:09.617,127.88,128.0,127.68,128.0,787019,100667788.48890199
2015-02-17,2015-02-17,15:20:09.617,15:26:15.183,128.0,128.12,127.9,127.99,776098,100010160.73900203
2015-02-17,2015-02-17,15:26:15.202,15:33:22.099,127.99,128.02,127.75,127.75,783002,100153832.75950202
2015-02-17,2015-02-17,15:33:22.099,15:39:54.397,127.75,127.9256,127.67,127.829,781577,100000483.53210212
2015-02-17,2015-02-17,15:39:54.397,15:47:23.596,127.821,127.86,127.65,127.67,782978,100042533.9177021
2015-02-17,2015-02-17,15:47:23.596,15:51:27.662,127.67,127.74,127.56,127.71,783404,100053786.99080221
2015-02-17,2015-02-17,15:51:27.662,15:55:49.467,127.71,127.74,127.59,127.67,782768,100009972.46950215
2015-02-17,2015-02-17,15:55:49.488,15:57:46.358,127.67,127.68,127.57,127.6,783629,100018934.90290211
2015-02-17,2015-02-17,15:57:46.359,15:59:35.182,127.6,127.67,127.53,127.63,783662,100011578.46800202
2015-02-17,2015-02-17,15:59:35.182,16:00:00.186,127.63,127.83,127.61,127.83,2055860,262754568.31120205
2015-02-17,2015-02-17,16:00:00.186,16:00:00.186,127.83,127.83,127.83,127.83,1615589,369275310.18120205
2015-02-17,2015-02-17,16:00:00.663,16:00:00.663,127.83,127.83,127.83,127.83,162,269296018.64120203
